WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.29.230:5000
Press CTRL+C to quit
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 143-385-732
127.0.0.1 - - [23/Mar/2026 18:09:53] "GET /api/health HTTP/1.1" 200 -
127.0.0.1 - - [23/Mar/2026 18:12:35] "GET /api/products?per_page=8&page=1&sort_by=created_at&order=desc HTTP/1.1" 200 -
127.0.0.1 - - [23/Mar/2026 18:12:35] "GET /api/products?per_page=8&page=1&sort_by=created_at&order=desc HTTP/1.1" 200 -
127.0.0.1 - - [23/Mar/2026 18:12:49] "GET / HTTP/1.1" 404 -
127.0.0.1 - - [23/Mar/2026 18:12:49] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [23/Mar/2026 18:13:19] "OPTIONS /api/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [23/Mar/2026 18:13:20] "POST /api/auth/login HTTP/1.1" 401 -
127.0.0.1 - - [23/Mar/2026 18:13:22] "POST /api/auth/login HTTP/1.1" 401 -
127.0.0.1 - - [23/Mar/2026 18:13:23] "POST /api/auth/login HTTP/1.1" 401 -
127.0.0.1 - - [23/Mar/2026 18:13:23] "POST /api/auth/login HTTP/1.1" 401 -
127.0.0.1 - - [23/Mar/2026 18:13:23] "POST /api/auth/login HTTP/1.1" 401 -
127.0.0.1 - - [23/Mar/2026 18:13:24] "POST /api/auth/login HTTP/1.1" 401 -
127.0.0.1 - - [23/Mar/2026 18:13:24] "POST /api/auth/login HTTP/1.1" 401 -
127.0.0.1 - - [23/Mar/2026 18:13:24] "POST /api/auth/login HTTP/1.1" 401 -
127.0.0.1 - - [23/Mar/2026 18:13:25] "OPTIONS /api/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [23/Mar/2026 18:13:25] "POST /api/auth/login HTTP/1.1" 401 -
127.0.0.1 - - [23/Mar/2026 18:13:25] "POST /api/auth/login HTTP/1.1" 401 -
127.0.0.1 - - [23/Mar/2026 18:13:39] "OPTIONS /api/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [23/Mar/2026 18:13:39] "POST /api/auth/login HTTP/1.1" 401 -
127.0.0.1 - - [23/Mar/2026 18:13:42] "POST /api/auth/login HTTP/1.1" 401 -
127.0.0.1 - - [23/Mar/2026 18:13:44] "POST /api/auth/login HTTP/1.1" 401 -
127.0.0.1 - - [23/Mar/2026 18:13:44] "OPTIONS /api/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [23/Mar/2026 18:13:44] "POST /api/auth/login HTTP/1.1" 401 -
127.0.0.1 - - [23/Mar/2026 18:13:45] "POST /api/auth/login HTTP/1.1" 401 -
127.0.0.1 - - [23/Mar/2026 18:13:45] "POST /api/auth/login HTTP/1.1" 401 -
127.0.0.1 - - [23/Mar/2026 18:13:45] "POST /api/auth/login HTTP/1.1" 401 -
127.0.0.1 - - [23/Mar/2026 18:13:45] "POST /api/auth/login HTTP/1.1" 401 -
127.0.0.1 - - [23/Mar/2026 18:13:45] "POST /api/auth/login HTTP/1.1" 401 -
127.0.0.1 - - [23/Mar/2026 18:13:45] "POST /api/auth/login HTTP/1.1" 401 -
127.0.0.1 - - [23/Mar/2026 18:13:46] "POST /api/auth/login HTTP/1.1" 401 -
127.0.0.1 - - [23/Mar/2026 18:13:46] "POST /api/auth/login HTTP/1.1" 401 -
127.0.0.1 - - [23/Mar/2026 18:13:46] "POST /api/auth/login HTTP/1.1" 401 -
127.0.0.1 - - [23/Mar/2026 18:13:46] "POST /api/auth/login HTTP/1.1" 401 -
127.0.0.1 - - [23/Mar/2026 18:13:47] "POST /api/auth/login HTTP/1.1" 401 -
127.0.0.1 - - [23/Mar/2026 18:13:47] "POST /api/auth/login HTTP/1.1" 401 -
127.0.0.1 - - [23/Mar/2026 18:13:47] "POST /api/auth/login HTTP/1.1" 401 -
127.0.0.1 - - [23/Mar/2026 18:13:47] "POST /api/auth/login HTTP/1.1" 401 -
127.0.0.1 - - [23/Mar/2026 18:14:15] "OPTIONS /api/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [23/Mar/2026 18:14:15] "POST /api/auth/login HTTP/1.1" 401 -
127.0.0.1 - - [23/Mar/2026 18:14:23] "GET /api/products?per_page=8&page=1&sort_by=created_at&order=desc HTTP/1.1" 200 -
127.0.0.1 - - [23/Mar/2026 18:14:23] "GET /api/products?per_page=8&page=1&sort_by=created_at&order=desc HTTP/1.1" 200 -
127.0.0.1 - - [23/Mar/2026 18:14:41] "OPTIONS /api/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [23/Mar/2026 18:14:41] "POST /api/auth/login HTTP/1.1" 401 -
127.0.0.1 - - [23/Mar/2026 18:14:49] "GET /api/products?per_page=8&page=1&sort_by=created_at&order=desc HTTP/1.1" 200 -
127.0.0.1 - - [23/Mar/2026 18:14:49] "GET /api/products?per_page=8&page=1&sort_by=created_at&order=desc HTTP/1.1" 200 -
127.0.0.1 - - [23/Mar/2026 18:14:51] "GET /api/categories HTTP/1.1" 200 -
127.0.0.1 - - [23/Mar/2026 18:14:51] "GET /api/products?sort_by=created_at&order=desc&page=1&per_page=12 HTTP/1.1" 200 -
127.0.0.1 - - [23/Mar/2026 18:14:51] "GET /api/categories HTTP/1.1" 200 -
127.0.0.1 - - [23/Mar/2026 18:14:51] "GET /api/products?sort_by=created_at&order=desc&page=1&per_page=12 HTTP/1.1" 200 -
127.0.0.1 - - [23/Mar/2026 18:14:55] "GET /api/products?per_page=8&page=1&sort_by=created_at&order=desc HTTP/1.1" 200 -
127.0.0.1 - - [23/Mar/2026 18:14:55] "GET /api/products?per_page=8&page=1&sort_by=created_at&order=desc HTTP/1.1" 200 -
127.0.0.1 - - [23/Mar/2026 18:15:20] "GET /api/products?per_page=8&page=1&sort_by=created_at&order=desc HTTP/1.1" 200 -
127.0.0.1 - - [23/Mar/2026 18:15:20] "GET /api/products?per_page=8&page=1&sort_by=created_at&order=desc HTTP/1.1" 200 -
